Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Speak only English,Estimate; Total: - Spanish or Spanish Creole:,"Estimate; Total: - French (incl. Patois, Cajun):",Estimate; Total: - French Creole:,Estimate; Total: - Italian:,Estimate; Total: - Portuguese or Portuguese Creole:,Estimate; Total: - German:,Estimate; Total: - Yiddish:,Estimate; Total: - Other West Germanic languages:,Estimate; Total: - Scandinavian languages:,Estimate; Total: - Greek:,Estimate; Total: - Russian:,Estimate; Total: - Polish:,Estimate; Total: - Serbo-Croatian:,Estimate; Total: - Other Slavic languages:,Estimate; Total: - Armenian:,Estimate; Total: - Persian:,Estimate; Total: - Gujarati:,Estimate; Total: - Hindi:,Estimate; Total: - Urdu:,Estimate; Total: - Other Indic languages:,Estimate; Total: - Other Indo-European languages:,Estimate; Total: - Chinese:,Estimate; Total: - Japanese:,Estimate; Total: - Korean:,"Estimate; Total: - Mon-Khmer, Cambodian:",Estimate; Total: - Hmong:,Estimate; Total: - Thai:,Estimate; Total: - Laotian:,Estimate; Total: - Vietnamese:,Estimate; Total: - Other Asian languages:,Estimate; Total: - Tagalog:,Estimate; Total: - Other Pacific Island languages:,Estimate; Total: - Navajo:,Estimate; Total: - Other Native North American languages:,Estimate; Total: - Hungarian:,Estimate; Total: - Arabic:,Estimate; Total: - Hebrew:,Estimate; Total: - African languages:,Estimate; Total: - Other and unspecified languages:
1400000US12086001606,12086001606,"Census Tract 16.06, Miami-Dade County, Florida",4289,246,4043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001701,12086001701,"Census Tract 17.01, Miami-Dade County, Florida",4480,3019,1437,5,3,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001702,12086001702,"Census Tract 17.02, Miami-Dade County, Florida",2487,1695,771,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1400000US12086001703,12086001703,"Census Tract 17.03, Miami-Dade County, Florida",4961,353,4586,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001801,12086001801,"Census Tract 18.01, Miami-Dade County, Florida",3974,3255,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001802,12086001802,"Census Tract 18.02, Miami-Dade County, Florida",3972,2787,1175,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001803,12086001803,"Census Tract 18.03, Miami-Dade County, Florida",2883,1896,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0
1400000US12086001901,12086001901,"Census Tract 19.01, Miami-Dade County, Florida",3265,2715,326,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
1400000US12086001903,12086001903,"Census Tract 19.03, Miami-Dade County, Florida",3013,2436,442,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086001904,12086001904,"Census Tract 19.04, Miami-Dade County, Florida",3634,3154,406,13,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
